Date,Open,High,Low,Close,Adj Close,Volume
1987-03-11,0.296875,0.298611,0.293403,0.296875,0.187593,43862400
1987-03-12,0.296875,0.300347,0.289931,0.298177,0.188416,71337600
1987-03-13,0.298177,0.300347,0.281250,0.287326,0.181559,105120000
1987-03-16,0.286458,0.286458,0.276910,0.285590,0.180462,88473600
1987-03-17,0.285590,0.296875,0.284722,0.295139,0.186496,54547200
1987-03-18,0.296875,0.313368,0.296875,0.310764,0.196370,119347200
1987-03-19,0.310764,0.316840,0.305556,0.316840,0.200209,62812800
1987-03-20,0.316840,0.316840,0.311632,0.313368,0.198015,38246400
1987-03-23,0.313368,0.317708,0.308160,0.311198,0.196644,67478400
1987-03-24,0.303819,0.315104,0.303819,0.313368,0.198015,69609600
1987-03-25,0.313368,0.315104,0.309896,0.312066,0.197192,33840000
1987-03-26,0.312066,0.312500,0.309028,0.309896,0.195821,33379200
1987-03-27,0.311632,0.325521,0.311632,0.318576,0.201306,120873600
1987-03-30,0.318576,0.335938,0.307292,0.335938,0.212277,186134400
1987-03-31,0.331597,0.343750,0.331597,0.335938,0.212277,125337600
1987-04-01,0.335938,0.342882,0.314236,0.315972,0.199661,259430400
1987-04-02,0.321181,0.336806,0.321181,0.329861,0.208437,159955200
1987-04-03,0.329861,0.348090,0.329861,0.346354,0.218859,155606400
1987-04-06,0.346354,0.347222,0.338542,0.344618,0.217762,98956800
1987-04-07,0.344618,0.344618,0.326389,0.326389,0.206243,73728000
1987-04-08,0.326389,0.339410,0.326389,0.335938,0.212277,106214400
1987-04-09,0.335938,0.335938,0.327257,0.329861,0.208437,71568000
1987-04-10,0.329861,0.332465,0.328993,0.332031,0.209808,43372800
1987-04-13,0.331597,0.331597,0.319444,0.321181,0.202952,50256000
1987-04-14,0.321181,0.331597,0.315972,0.326389,0.206243,87379200
1987-04-15,0.328993,0.336806,0.328993,0.333333,0.210631,95961600
1987-04-16,0.333333,0.348958,0.332465,0.342014,0.216116,188092800
1987-04-20,0.342014,0.345486,0.331597,0.332465,0.210082,100310400
1987-04-21,0.332465,0.340278,0.325521,0.337674,0.213374,113184000
1987-04-22,0.337674,0.342882,0.337674,0.342014,0.216116,74678400
1987-04-23,0.342014,0.345486,0.336806,0.342014,0.216116,48326400
1987-04-24,0.342014,0.345486,0.337674,0.343750,0.217213,54172800
1987-04-27,0.343750,0.346354,0.337674,0.343750,0.217213,53107200
1987-04-28,0.343750,0.369792,0.340278,0.368924,0.233121,111081600
1987-04-29,0.368924,0.378472,0.358507,0.358507,0.226538,85161600
1987-04-30,0.358507,0.368924,0.353299,0.361111,0.228184,88041600
1987-05-01,0.361111,0.365451,0.356771,0.364583,0.230378,37843200
1987-05-04,0.364583,0.374132,0.362847,0.371528,0.234766,34531200
1987-05-05,0.372396,0.401910,0.372396,0.401910,0.253964,110995200
1987-05-06,0.401910,0.405382,0.390625,0.392361,0.247930,153504000
1987-05-07,0.392361,0.411458,0.389757,0.410590,0.259449,289699200
1987-05-08,0.411458,0.445313,0.411458,0.439236,0.277550,150048000
1987-05-11,0.439236,0.439236,0.426649,0.427083,0.269871,127382400
1987-05-12,0.427083,0.431424,0.406250,0.412326,0.260546,148464000
1987-05-13,0.414931,0.424479,0.414931,0.422743,0.267128,73382400
1987-05-14,0.422743,0.434028,0.422743,0.426215,0.269322,59961600
1987-05-15,0.425347,0.425347,0.414063,0.414063,0.261644,84326400
1987-05-18,0.414063,0.414063,0.388889,0.400174,0.252867,172598400
